OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
81,1,81,7808,0.190000000000000,1383,3,NEWBERRY,241902,286500,2011,100,1383.000000000000000,2011,2023,0,-82.612940120000005,29.658738790000001,01894-103-146,0,192.000000000000000,400,11,11,0,0,2,519,swNewberry_A
82,1,82,7916,0.230000000000000,1453,3,NEWBERRY,236101,271400,2004,100,1453.000000000000000,2004,2023,0,-82.597223979999995,29.657292170000002,01901-020-023,0,110.000000000000000,380,18,18,0,0,2,1910,swNewberry_A
83,1,83,7927,0.280000000000000,1470,3,NEWBERRY,236101,298800,2004,100,1470.000000000000000,2004,2023,0,-82.595873949999998,29.657133649999999,01901-020-074,0,28.000000000000000,420,18,18,0,0,2,691,swNewberry_A
84,1,84,7948,0.240000000000000,1811,3,NEWBERRY,236102,314600,2004,100,1811.000000000000000,2004,2023,0,-82.592739390000006,29.657766530000000,01901-040-037,0,112.000000000000000,420,18,18,0,0,2,860,swNewberry_A
85,1,85,8090,0.250000000000000,2916,3,NEWBERRY,236106,418500,2007,100,1256.000000000000000,2007,2023,0,-82.585981579999995,29.661192459999999,01901-070-117,1382,278.000000000000000,560,15,15,0,0,2,1224,swNewberry_A
86,1,86,8266,10.289999999999999,2518,4,SUWANNEE,0,680300,2002,100,2518.000000000000000,2002,2023,0,-82.578907590000000,29.642413130000001,01926-002-000,0,687.000000000000000,375,20,20,0,0,2,10502,swNewberry_A
87,1,87,8323,5.000000000000000,2544,3,NEWBERRY,0,492000,2007,100,2544.000000000000000,2007,2023,0,-82.595937190000001,29.642969610000002,01933-004-000,0,1284.000000000000000,0,15,15,0,0,2,5264,swNewberry_A
88,1,88,8345,0.180000000000000,2336,3,NEWBERRY,249400,416900,2012,100,2336.000000000000000,2012,2023,0,-82.600469849999996,29.641413480000001,01933-010-020,0,24.000000000000000,504,10,10,0,0,3,1874,swNewberry_A
89,1,89,8349,0.170000000000000,2200,3,NEWBERRY,249400,337000,2008,100,1120.000000000000000,2008,2023,0,-82.600232320000003,29.640739900000000,01933-010-024,1080,28.000000000000000,441,14,14,0,0,2,1233,swNewberry_A
90,1,90,8493,1.000000000000000,1431,3,NEWBERRY,0,380000,1974,100,1431.000000000000000,1959,2023,0,-82.603792150000004,29.646289589999999,01951-001-000,0,126.000000000000000,0,48,63,0,0,1,1547,swNewberry_A
