prop_id,market
67932,126567
67940,145221
67948,219108
68542,176047
69284,386056
69377,670118
69380,311538
69382,304064
69383,214851
69493,315040
69506,334014
69513,359617
69529,262387
69555,275988
69563,269619
69646,495219
69668,378346
69682,376043
69898,308856
69912,318160
69918,368139
69967,304290
69993,361260
70008,364334
70014,326872
70019,332204
70035,355751
70039,345689
70044,330456
70242,337523
70509,371640
70598,1080854
71063,167569
71304,289957
71799,156621
72105,242130
72154,189108
72204,499766
72223,215696
72230,218493
72281,211344
72460,187112
72475,164361
73125,225981
73132,233289
73137,231823
73140,235489
73232,224419
73246,216348
73270,275233
73275,257886
73288,210845
73296,218128
73298,210922
73312,238210
73313,225594
73477,234302
73487,173689
73552,196166
73616,186453
73620,234321
73681,228724
73685,209689
73705,212663
73712,214071
73714,211866
73752,229890
73771,202247
73784,390140
73792,191658
73797,235510
73858,216363
73872,183766
73882,216045
73898,218501
73974,184242
74034,212587
74076,204680
74116,179566
74118,266766
74159,203069
74501,142427
74511,152647
74518,193473
74522,148782
74539,168007
74621,115856
74664,186538
74671,250899
74824,184610
74852,98327
74890,257090
74905,211324
75076,194267
75131,218258
75168,192136
75194,185851
75231,220120
75274,207717
75533,177441
75598,196703
75610,217748
75630,211506
75689,152767
75708,167319
75745,178280
75893,235892
76128,139359
76191,149305
76208,176149
76657,233485
76677,172987
76688,218751
76690,141607
76707,193787
76724,154926
76805,200552
76813,133253
76827,130972
76858,157322
76875,249752
76904,153999
76929,124739
77020,155776
77023,204664
77025,292654
77098,124112
77132,184667
77197,175165
77207,154159
77268,140666
77294,176605
77410,200778
77411,220261
77440,151933
77445,156743
77456,134303
77496,202735
77642,210510
77644,192650
77648,216441
77790,194370
77835,194804
78216,930602
78425,222519
78521,126707
78524,135486
78684,394264
78692,389094
78702,318645
78742,393065
78748,391854
78780,340463
78900,186611
78924,225348
78930,291517
78931,241021
78953,263097
78977,262490
78983,307543
78989,256020
79135,406911
79164,292110
79441,308000
79481,304390
79504,349540
79555,339274
79582,507384
79623,421384
79644,453009
79682,272655
79709,144290
79756,194124
79895,161187
79926,170115
79938,199810
79973,265156
79984,219016
79989,241155
80022,198081
80027,172569
80058,208869
80267,97098
80359,220535
80371,182690
80586,267965
80852,317050
80977,231454
81154,210099
81157,214529
81214,190963
81403,215062
81411,459097
81418,354682
81439,175472
81481,160092
81488,232757
81516,182785
81604,186151
81632,226602
81638,258741
81753,200912
81801,164920
81811,200428
81836,178123
81837,217787
81856,197319
81874,203970
81883,209915
81933,183824
82041,186551
82055,191040
82067,174919
82095,199060
82137,167161
82227,171612
82238,195922
82426,135697
82430,132051
82476,130504
82604,201783
82628,237845
82637,194845
82707,140404
82748,145946
82878,192560
82922,216053
82976,90367
83003,146638
83134,173150
83231,172201
83279,140965
83346,133715
83417,261507
83509,182477
83593,174708
83626,155101
83878,100432
83882,187329
84002,161754
84067,140965
84148,62877
84149,131223
84174,93125
84228,121725
84297,124421
84304,196600
84363,48677
84368,110583
84736,116481
84740,93973
84800,120489
84823,153049
84879,117171
85029,98535
85202,187806
85285,341402
85357,151664
85418,137560
85636,285810
85704,304586
85848,216936
86000,178991
86009,184462
86025,167030
86079,292566
86090,232609
86173,127103
86445,93762
86511,179468
87147,160102
87154,209125
87668,144129
87800,226935
87938,154407
88110,174295
88130,290455
88298,263620
88299,301798
88300,310552
88466,193850
88626,121377
88676,213165
88976,250520
89548,419629
89583,340704
89630,440795
89793,420549
89943,488046
91033,226031
91042,253183
91098,516992
91113,308521
91136,515748
91644,163683
91723,68995
91941,188540
92041,107374
92102,74001
92292,160568
92296,182127
92312,147401
92462,166057
92482,163354
92531,152802
92597,168405
92656,216216
92726,171791
92737,184327
92890,137645
93038,57597
93039,57597
93044,171040
93075,98248
93101,154252
93103,147671
93177,41359
93187,85961
93207,69488
93214,94461
93299,136101
93431,150038
93493,85239
93511,120662
93694,145175
93874,104413
93900,130487
94048,182102
94064,217548
94168,371197
94542,143535
94617,65075
94886,159844
94987,330148
95008,115504
96345,133210
96383,131767
96441,379014
96464,56516
96813,318487
97206,228336
97247,185479
97311,37045
97674,225322
97974,179766
98162,125052
98192,117334
98290,424130
98590,67205
99042,278508
99166,208356
