OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
2322,1,2322,60043,0.240000000000000,1688,3,ST. JOHN'S,77800,370000,1994,100,1458.000000000000000,1989,2025,0,-82.446847779999999,29.604038520000000,06860-121-002,0,278,448,30,35,0,0,2.000000000000000,8506,Haile_Like
2323,1,2323,60691,0.250000000000000,2670,4,ST. JOHN'S,83200,775000,2018,100,2420.000000000000000,1999,2025,0,-82.451900109999997,29.607740880000001,06860-200-009,250,70,484,6,25,0,0,3.000000000000000,2086,Haile_Like
2324,1,2324,60697,0.220000000000000,2376,4,ST. JOHN'S,83200,569000,2009,100,2376.000000000000000,2002,2025,0,-82.452469300000004,29.607163549999999,06860-200-015,0,279,644,15,22,0,0,2.000000000000000,5415,Haile_Like
2325,1,2325,60710,0.440000000000000,2905,5,ST. JOHN'S,254500,725000,1995,100,2904.500000000000000,1995,2025,0,-82.454389719999995,29.613237989999998,06860-210-005,0,491,704,29,29,0,0,3.000000000000000,23978,Haile_Like
2326,1,2326,60727,0.520000000000000,3287,5,ST. JOHN'S,254500,750000,1997,100,2818.500000000000000,1997,2025,0,-82.455384870000003,29.608582750000000,06860-210-022,468,424,814,27,27,0,0,2.000000000000000,24740,Haile_Like
2327,1,2327,60733,0.470000000000000,3595,5,ST. JOHN'S,254500,790000,1998,100,3595.000000000000000,1998,2025,0,-82.454611499999999,29.610670169999999,06860-210-028,0,720,698,26,26,0,0,3.500000000000000,27342,Haile_Like
2328,1,2328,60752,0.840000000000000,4801,5,ST. JOHN'S,254600,810000,1996,100,4801.000000000000000,1995,2025,0,-82.453880830000003,29.614585909999999,06860-220-016,0,64,744,28,29,0,0,2.500000000000000,24145,Haile_Like
2329,1,2329,60765,0.310000000000000,2000,4,ST. JOHN'S,79200,550000,2004,100,1999.500000000000000,1993,2025,0,-82.448879800000000,29.614839069999999,06860-230-006,0,286,420,20,31,0,0,2.000000000000000,23161,Haile_Like
2330,1,2330,60787,0.130000000000000,1402,3,ST. JOHN'S,79300,309000,1995,100,1302.000000000000000,1991,2025,0,-82.436153809999993,29.607012350000002,06860-240-003,0,124,400,29,33,0,0,2.000000000000000,1092,Valwood
2331,1,2331,60838,0.450000000000000,1991,4,ST. JOHN'S,79400,458300,1994,100,1991.000000000000000,1992,2025,0,-82.439532340000000,29.614418470000000,06860-251-005,0,316,864,30,32,0,0,2.000000000000000,4644,Haile_Like
2332,1,2332,60926,0.540000000000000,4526,5,ST. JOHN'S,79700,1355000,2015,100,3186.500000000000000,1996,2025,0,-82.446118080000005,29.612741950000000,06860-262-038,1339,894,798,9,28,0,0,5.000000000000000,33383,Haile_Like
2333,1,2333,74552,0.210000000000000,894,3,GAINESVILLE,145500,200000,2003,100,894.000000000000000,1958,2025,0,-82.336694039999998,29.691605620000001,08035-051-000,0,62,0,21,66,0,0,1.000000000000000,1047,Westchester
2334,1,2334,74619,0.120000000000000,792,3,GAINESVILLE,145500,198900,2000,100,792.000000000000000,1953,2025,0,-82.334855599999997,29.689592359999999,08077-000-000,0,0,0,24,71,0,0,1.000000000000000,0,Westchester
2335,1,2335,75080,0.270000000000000,1480,3,GAINESVILLE,32600,262000,1994,100,1300.000000000000000,1964,2025,0,-82.305429520000004,29.678641949999999,08197-003-024,0,236,0,30,60,0,0,2.000000000000000,1232,MidtownEast_C
2336,1,2336,75131,0.210000000000000,1260,3,GAINESVILLE,32600,240000,2010,100,1260.000000000000000,1965,2025,0,-82.303609899999998,29.678820120000001,08197-003-075,0,105,0,14,59,0,0,1.000000000000000,200,MidtownEast_C
2337,1,2337,75134,0.210000000000000,1273,3,GAINESVILLE,32600,259000,1998,100,1273.000000000000000,1964,2025,0,-82.303612900000005,29.678160160000001,08197-003-078,0,104,0,26,60,0,0,2.000000000000000,1570,MidtownEast_C
2338,1,2338,75180,0.200000000000000,1326,3,GAINESVILLE,32600,218000,2005,100,1256.000000000000000,1965,2025,0,-82.301842949999994,29.679696170000000,08197-004-024,0,94,0,19,59,0,0,1.500000000000000,456,MidtownEast_C
2339,1,2339,75471,0.250000000000000,970,3,GAINESVILLE,95700,190000,1994,100,970.000000000000000,1959,2025,0,-82.313295069999995,29.677342939999999,08201-008-000,0,18,0,30,65,0,0,1.000000000000000,1740,MidtownEast_C
2340,1,2340,75520,0.210000000000000,1098,3,GAINESVILLE,95700,200000,1994,100,988.000000000000000,1959,2025,0,-82.313292270000005,29.675723380000001,08201-057-000,0,110,0,30,65,0,0,1.000000000000000,180,MidtownEast_C
2341,1,2341,75573,0.210000000000000,1053,3,GAINESVILLE,95700,220000,1994,100,1053.000000000000000,1959,2025,0,-82.311065970000001,29.674343120000000,08201-110-000,0,70,0,30,65,0,0,1.500000000000000,3670,MidtownEast_C
2342,1,2342,75603,0.210000000000000,1338,3,GAINESVILLE,95800,225000,1994,100,1338.000000000000000,1961,2025,0,-82.311820159999996,29.680955829999998,08202-020-000,0,35,0,30,63,0,0,2.000000000000000,686,MidtownEast_C
2343,1,2343,75711,0.230000000000000,1610,3,GAINESVILLE,95800,275000,1994,100,1610.000000000000000,1960,2025,0,-82.313550570000004,29.678058849999999,08202-128-000,0,140,0,30,64,0,0,2.000000000000000,1117,MidtownEast_C
2344,1,2344,75767,0.270000000000000,1565,3,GAINESVILLE,95900,245000,2010,100,1389.000000000000000,1962,2025,0,-82.308880439999996,29.680514760000001,08203-034-000,0,312,0,14,62,0,0,2.000000000000000,384,MidtownEast_C
2345,1,2345,75819,0.230000000000000,1389,3,GAINESVILLE,95900,240000,1994,100,1389.000000000000000,1962,2025,0,-82.308325449999998,29.679371079999999,08203-086-000,0,92,0,30,62,0,0,2.000000000000000,1913,MidtownEast_C
2346,1,2346,75845,0.220000000000000,1798,3,GAINESVILLE,95900,265000,1994,100,1798.000000000000000,1962,2025,0,-82.309803950000003,29.678697740000000,08203-112-000,0,32,0,30,62,0,0,2.000000000000000,2680,MidtownEast_C
2347,1,2347,76002,0.440000000000000,1227,3,GAINESVILLE,96000,245000,1994,100,952.000000000000000,1970,2025,0,-82.306493509999996,29.683136279999999,08231-003-002,0,595,0,30,54,0,0,1.500000000000000,1406,MidtownEast_C
2348,1,2348,76107,0.250000000000000,1287,3,GAINESVILLE,96100,175000,1994,100,936.000000000000000,1972,2025,0,-82.307362850000004,29.688110880000000,08231-005-003,0,414,0,30,52,0,0,1.000000000000000,671,MidtownEast_C
2349,1,2349,76120,0.240000000000000,1310,3,GAINESVILLE,96100,280000,2012,100,1310.000000000000000,1972,2025,0,-82.310122690000000,29.687853369999999,08231-005-016,0,20,0,12,52,0,0,2.000000000000000,1116,MidtownEast_C
2350,1,2350,76133,0.230000000000000,975,3,GAINESVILLE,96100,246000,1994,100,975.000000000000000,1972,2025,0,-82.308283279999998,29.687639239999999,08231-005-029,0,364,198,30,52,0,0,2.000000000000000,176,MidtownEast_C
2351,1,2351,76249,0.250000000000000,1080,3,GAINESVILLE,96300,258000,1997,100,1080.000000000000000,1977,2025,0,-82.314428230000004,29.678456789999998,08232-004-000,0,112,0,27,47,0,0,1.500000000000000,996,MidtownEast_C
2352,1,2352,76394,0.120000000000000,1477,3,GAINESVILLE,0,250000,2022,100,1477.000000000000000,2022,2025,0,-82.323331089999996,29.686010440000000,08247-084-000,0,248,270,2,2,0,0,2.000000000000000,349,MidtownEast_C
