prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price,prop_val_yr,CENTROID_X,CENTROID_Y
8407,0.18,1022,2012,3002,LT,2,355300,2022,-82.59863246,29.64146556
8411,0.18,1022,2012,3064,LT,2,398200,2024,-82.59864922,29.64218035
8421,0.19,1022,2010,3440,LT,2,362100,2024,-82.60003987,29.64216232
8422,0.18,1022,2015,3908,LT,2,482900,2023,-82.60026697,29.64215971
8426,0.18,1022,2012,3920,LT,2,473000,2024,-82.60114817,29.64214392
8429,0.18,1022,2013,3920,LT,2,387600,2024,-82.60114108,29.64184151
8506,0.36,1022,1976,1628,UN,3,217800,2024,-82.60362647,29.64427983
8516,0.21,1022,1976,1156,UN,3,212600,2023,-82.60314191,29.64529526
8586,0.54,1022,1964,960,LT,3,190600,2022,-82.62134574,29.64535081
8595,0.22,1022,1974,1516,UN,3,231300,2024,-82.62092713,29.64492045
8602,0.24,1022,1974,1248,UN,3,239600,2024,-82.62089477,29.64450521
8619,0.26,1022,1975,1236,UN,3,193800,2022,-82.62247749,29.64375087
8636,0.23,1022,1975,1056,UN,3,203900,2022,-82.62067012,29.64218561
8719,0.72,1022,1970,2290,UN,3,384900,2023,-82.61211467,29.64179249
8742,0.8,1022,1975,1000,UN,3,146000,2023,-82.61054047,29.63997536
8748,0.26,1022,1979,1248,UN,3,230400,2023,-82.61004074,29.64146579
8749,0.24,1022,1979,1450,UN,3,154400,2022,-82.61035514,29.64144899
8750,0.23,1022,1978,1219,UN,3,170000,2024,-82.61066903,29.64143228
8779,0.17,1022,1977,1656,UN,3,225200,2022,-82.60894968,29.63915332
8815,0.46,1022,1954,1949,UN,3,222200,2024,-82.62278115,29.64721088
8841,0.24,1022,1975,1184,UN,3,194100,2023,-82.60908943,29.64986543
8894,0.23,1022,1952,725,UN,3,78700,2023,-82.61025527,29.64882948
8948,0.44,1022,1900,2240,UN,3,210200,2023,-82.61279401,29.64770171
9012,0.28,1022,1970,1303,LT,3,215600,2024,-82.6080898,29.64585588
9031,0.28,1022,1929,2028,LT,3,191300,2022,-82.61136701,29.64561271
9073,0.77,1022,1956,820,LT,3,147900,2023,-82.60940932,29.64483848
9095,0.48,1022,1956,1236,LT,3,259700,2024,-82.60862338,29.64392569
9103,0.24,1022,1947,1380,LT,3,193600,2024,-82.61128369,29.64414269
9107,0.28,1022,1997,1700,UN,4,339400,2022,-82.61210489,29.64414612
9116,0.42,1022,1934,2162,UN,4,369300,2022,-82.61227652,29.64297509
9135,0.48,1022,1957,520,LT,2,73500,2024,-82.60727036,29.64309301
9236,0.24,1022,1983,936,UN,3,215600,2024,-82.61094839,29.65125918
9263,0.34,1022,1976,1056,UN,3,176400,2024,-82.61442001,29.65021481
9350,0.14,1022,2022,1318,LT,NULL,243600,2023,-82.61641637,29.65161393
9356,0.16,1022,2015,1221,LT,3,228500,2022,-82.61635244,29.65087553
9396,0.24,1022,1961,768,UN,3,166600,2024,-82.6097144,29.6527019
9460,0.44,1022,1954,1356,UN,3,178900,2022,-82.61917689,29.64589614
9464,0.95,1022,1990,2548,LT,4,461900,2022,-82.61854476,29.64507514
9470,0.28,1022,1982,1452,UN,3,178500,2022,-82.62049423,29.64530949
9478,0.55,1022,1993,1677,LT,3,307500,2022,-82.61883744,29.64525907
9500,0.24,1022,1995,1025,LT,3,223600,2024,-82.62719057,29.64897981
9502,0.24,1022,1994,1152,LT,3,202500,2023,-82.62720968,29.64950849
9503,0.35,1022,1992,864,LT,3,183400,2023,-82.62716921,29.64979646
9513,0.24,1022,2003,1629,LT,3,303600,2023,-82.6233965,29.64993259
9684,0.22,1022,2007,2062,LT,3,275000,2024,-82.60830392,29.63702076
9705,0.27,1022,2007,1633,LT,3,308700,2022,-82.6070911,29.63587427
9720,0.23,1022,2010,1635,LT,3,292500,2022,-82.60799118,29.63451954
9721,0.23,1022,2008,1907,LT,4,320000,2022,-82.60825225,29.63451562
9736,0.23,1022,2011,1583,LT,3,329500,2024,-82.60797181,29.63337243
9793,0.31,1022,2001,1643,LT,3,290300,2022,-82.61171697,29.63741867
9812,0.34,1022,1996,1567,UN,3,291300,2023,-82.60977859,29.63698383
9815,0.33,1022,1994,2214,LT,3,364700,2023,-82.61078187,29.63695484
9829,0.31,1022,1985,1368,LT,3,250500,2022,-82.61300627,29.63653979
9831,0.32,1022,1984,1408,LT,3,312800,2022,-82.61231263,29.63655602
