prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price
19349,5,0,1988,480,AC,3,292100
19498,0.35,0,2007,1878,LT,3,330200
19521,0.16,0,2007,1664,LT,3,335400
19541,0.15,0,2008,1432,LT,3,316800
19604,5.03,0,2015,6871,AC,6,1792900
19604,5.03,0,2015,6871,AC,6,1804300
19637,1.59,0,1986,2082,AC,3,405700
19700,0.05,0,2003,1444,UN,3,242800
19706,0.05,0,1989,1662,LT,3,248900
19720,0.05,0,1989,1406,LT,3,264100
19723,0.05,0,1989,1410,LT,3,191800
19743,0.05,0,1989,1080,LT,3,240600
19746,0.04,0,1989,1080,LT,3,212700
19746,0.04,0,1989,1080,LT,3,202000
19763,0.06,0,2009,1701,LT,3,321000
19787,0.05,0,2007,1177,LT,3,264600
19810,0.05,0,2016,1251,LT,3,267800
19830,0.05,0,2008,1177,LT,3,275000
19833,0.06,0,2008,1376,LT,3,263200
19846,0.05,0,2013,1166,LT,3,274100
19847,0.06,0,2013,1867,LT,3,343000
19852,0.05,0,2016,1179,LT,3,286000
19853,0.06,0,2016,1696,LT,3,320000
19869,0.06,0,1989,1410,LT,3,226600
19896,0.04,0,1989,1406,UN,3,219300
19910,0.16,0,1994,1880,LT,4,292000
19975,0.24,0,1990,1842,UN,3,264600
20035,1.21,0,1968,3610,UN,3,545000
20075,1.23,0,1977,2318,UN,4,536800
20145,0.14,0,2016,2448,LT,4,495000
20184,0.06,0,2021,1868,LT,4,51600
20184,0.06,0,2021,1868,LT,4,370000
20184,0.06,0,2021,1868,LT,4,375000
20185,0.06,0,2022,1868,LT,3,376900
20201,0.07,0,2018,1416,LT,4,316800
20204,0.07,0,2018,1467,LT,NULL,311100
20287,0.26,0,2008,3001,LT,4,602400
20291,0.29,0,2012,2092,LT,4,497700
20291,0.29,0,2012,2092,LT,4,480200
20344,0.36,0,1996,2005,LT,4,357200
20344,0.36,0,1996,2005,LT,4,335000
20368,0.3,0,1999,2031,LT,4,400300
20370,0.26,0,1999,1928,LT,4,355500
20414,0.23,0,2003,1952,LT,4,372200
20453,0.25,0,2003,2262,LT,4,409600
20476,0.18,0,2015,1606,LT,4,368000
20490,0.17,0,2015,2669,LT,4,533200
20490,0.17,0,2015,2669,LT,4,564100
20493,0.25,0,2012,1706,LT,4,300700
20559,0.06,0,2004,1515,LT,4,300800
20577,0.2,0,1996,1758,LT,4,375000
20579,0.22,0,1996,1755,LT,4,333500
20642,0.2,0,2002,1904,LT,4,382500
20659,0.2,0,2000,1733,LT,4,413100
20699,0.35,0,2002,3147,LT,4,407800
20706,0.12,0,2004,1400,LT,3,314000
20722,0.07,0,2003,1816,LT,3,320000
20723,0.07,0,2003,1641,LT,3,268000
20725,0.07,0,2003,1825,LT,3,302900
20788,2,0,1998,4415,AC,5,1020000
20868,0.41,0,2007,2761,LT,4,610500
20889,0.34,0,2006,2414,LT,4,502900
20891,0.6931,0,2009,3006,LT,4,699900
20912,1.44,0,1974,1534,UN,3,210000
20948,1.02,0,1996,3033,LT,5,825800
20972,1.08,0,1990,2627,UN,4,620000
21011,1.03,0,2000,3199,LT,4,852600
21038,0.37,0,1997,2665,LT,4,654800
21055,0.29,0,2000,2784,LT,4,696200
21078,0.19,0,1999,1991,LT,4,540400
21098,0.27,0,2000,2580,LT,4,691900
21124,0.19,0,2002,2535,LT,4,566200
21124,0.19,0,2002,2535,LT,4,495700
21140,0.17,0,2002,1931,LT,5,573800
21161,0.13,0,2004,2246,LT,4,548700
21197,0.17,0,2004,2142,LT,4,499600
21203,0.34,0,2004,4188,LT,5,905900
21204,0.37,0,2007,3547,LT,5,918000
21207,0.27,0,2004,3244,LT,5,870300
21221,0.2,0,2005,1844,LT,4,490000
21223,0.19,0,2005,2086,LT,4,572000
21223,0.19,0,2005,2086,LT,4,530000
21224,0.31,0,2005,2672,LT,4,678000
21246,0.4,0,2005,2912,LT,4,689600
21247,0.4,0,2006,2378,LT,4,510000
21260,0.14,0,2006,2705,LT,4,579200
21283,0.13,0,2006,2144,LT,4,530400
21304,0.17,0,2006,2993,LT,4,697000
21306,0.17,0,2006,1939,LT,4,500600
21307,0.17,0,2006,2556,LT,4,612800
21310,0.21,0,2007,3238,LT,5,845300
21323,0.18,0,2007,2083,LT,4,510000
21323,0.18,0,2007,2083,LT,4,589000
21329,0.17,0,2007,2293,LT,4,580000
21329,0.17,0,2007,2293,LT,4,567300
21330,0.17,0,2007,2088,LT,4,539900
21346,0.36,0,2009,5206,LT,5,1472500
21350,0.29,0,2008,3593,LT,5,892900
21353,0.34,0,2010,4392,LT,5,1201200
21366,0.29,0,2015,3105,LT,5,845000
21370,0.45,0,2016,4547,LT,4,1472600
21618,1.01,0,1979,1692,LT,3,262100
21638,1.07,0,1980,1755,LT,2,204800
21705,0.94,0,1976,1087,LT,3,247000
21705,0.94,0,1976,1087,LT,3,354400
21744,0.15,0,2007,2201,LT,4,470900
21745,0.16,0,2012,1880,LT,4,473700
21761,0.34,0,2006,2842,LT,4,728100
21765,0.34,0,2008,3675,LT,5,921800
21765,0.34,0,2008,3675,LT,5,935900
21784,0.17,0,2017,1902,LT,4,422400
21801,0.16,0,2016,2102,LT,4,496600
21831,0.24,0,2010,2949,LT,4,629500
22034,2.57,0,1997,2141,AC,3,480000
22117,2.92,0,1959,1296,AC,3,240900
22328,3.31,0,1979,1581,AC,3,435000
22455,1,0,1965,1212,AC,2,115200
22488,1.62,0,1999,3514,UN,3,722500
22491,1,0,2001,3345,UN,4,728900
22495,1,0,2002,3293,UN,4,728100
22574,6.33,0,2001,6734,LT,5,1937800
22614,1.01,0,2002,3055,LT,5,847400
22615,1,0,2001,2665,LT,4,785000
22677,1.05,0,2017,4847,AC,5,1509800
22721,1,0,1998,2646,LT,4,602700
22741,1.01,0,1998,2357,LT,4,545900
22807,1.53,0,2004,6387,LT,5,1594600
22824,1.47,0,1972,2171,UN,3,343000
22826,1.33,0,1970,2002,UN,3,367400
22927,1.1,0,1996,2314,LT,4,527100
22930,1.02,0,1998,2250,LT,4,611800
23033,9,0,1999,2118,AC,3,482000
23072,5,0,1992,672,AC,3,188700
23079,5.16,1022,1998,2073,AC,4,586500
23099,5.26,1022,2000,2832,AC,4,428900
23112,5,1022,2003,2478,AC,4,600300
23118,5.93,1022,2002,2701,AC,4,697500
23258,1,0,1975,1541,UN,3,281800
23258,1,0,1975,1541,UN,3,285000
23282,10,0,1994,1440,AC,3,484400
