prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,A,B,C,D,E,F,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
37427,0.46,2386,3.0,GAINESVILLE,372800,1985,100,2386.0,1973,2022,0,0.0,72.0,0.0,30,48,0,0,2.0,2421,314459.0,0.5566481257747933,-82.388434,29.697831,06071-010-054,True,0.7,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.581331499195741,291073.6186458922,293494.6186458922,-79305.38135410781,-23385.381354107813,79305.38135410781,23385.381354107813,0.7872709727625863
37506,0.44,1738,3.0,GAINESVILLE,376800,1990,100,1738.0,1973,2022,0,0.0,40.0,536.0,30,48,0,0,2.0,9514,310766.0,0.5324460333498023,-82.384545,29.696324,06071-020-060,True,0.7,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.458895205496878,257530.95501127784,267044.9550112778,-109755.04498872219,-53235.04498872216,109755.04498872219,53235.04498872216,0.708718033469421
37696,0.28,1802,4.0,GAINESVILLE,351600,1998,100,1724.0,1991,2022,0,0.0,118.0,441.0,23,30,0,0,2.0,1365,297494.99999999994,0.3388292939498742,-82.375315,29.690182,06075-030-006,True,0.77,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.678190455650553,320677.25354586943,322042.25354586943,-29557.746454130567,23182.25354586949,29557.746454130567,23182.25354586949,0.9159335993909825
37715,0.17,1896,4.0,GAINESVILLE,414300,2010,100,1312.0,1992,2022,0,584.0,84.0,420.0,11,29,0,0,2.0,1409,350745.99999999994,0.20571778561242363,-82.374515,29.690586,06075-030-025,True,0.89,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.796083461397899,360801.5854406908,362210.5854406908,-52089.414559309196,10055.585440690862,52089.414559309196,10055.585440690862,0.8742712658476727
37746,0.19,1778,4.0,GAINESVILLE,294800,1993,100,1777.5,1993,2022,0,0.0,54.0,420.0,28,28,0,0,2.0,1699,248881.0,0.2299198780374146,-82.373105,29.691443,06075-030-056,True,0.72,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.592914291789388,294464.6649812188,296163.6649812188,1363.6649812188116,45583.66498121881,1363.6649812188116,45583.66498121881,1.0046257292442973
37752,0.25,2009,4.0,GAINESVILLE,425400,2000,100,2009.0,1995,2022,0,0.0,193.0,441.0,21,26,0,0,2.0,6513,355077.0,0.30252615531238763,-82.372625,29.691239,06075-030-062,True,0.79,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.76335891619567,349185.6178824102,355698.6178824102,-69701.38211758982,-5891.382117589819,69701.38211758982,5891.382117589819,0.8361509588208984
37826,0.18,1538,3.0,GAINESVILLE,302900,1998,100,1538.0,1993,2022,0,0.0,275.0,506.0,23,28,0,0,2.0,840,256625.0,0.2178188318249191,-82.358071,29.702091,06076-040-002,True,0.77,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.407907631246596,244729.21447413813,245569.21447413813,-57330.785525861866,-11895.785525861866,57330.785525861866,11895.785525861866,0.8107270203834207
37884,0.2,1609,3.0,GAINESVILLE,295900,2000,100,1609.0,1993,2022,0,0.0,372.0,460.0,21,28,0,0,2.0,331,251183.99999999997,0.24202092424991012,-82.356751,29.700859,06076-050-060,True,0.79,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.46243801888445,258444.9572400621,258775.9572400621,-37124.0427599379,7260.9572400621255,37124.0427599379,7260.9572400621255,0.8745385509971683
37920,0.44,1987,4.0,GAINESVILLE,335000,1990,100,1987.0,1974,2022,0,0.0,42.0,624.0,30,47,0,0,2.0,1443,283307.0,0.5324460333498023,-82.358731,29.696524,06076-051-018,True,0.7,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.694346215001305,325900.114122265,327343.114122265,-7656.8858777349815,42593.11412226502,7656.8858777349815,42593.11412226502,0.9771436242455672
38016,0.25,1464,4.0,GAINESVILLE,259100,1989,100,1464.0,1979,2022,0,0.0,0.0,525.0,30,42,0,0,2.5,1432,218803.0,0.30252615531238763,-82.359167,29.692584,06076-055-026,True,0.7,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.482470693983622,263674.507149383,265106.507149383,6006.507149383018,44871.50714938302,6006.507149383018,44871.50714938302,1.0231821966398418
38062,0.26,1250,3.0,GAINESVILLE,279100,2000,100,829.0,1979,2022,0,421.0,0.0,180.0,21,42,0,0,2.0,450,236784.99999999997,0.31462720152488316,-82.361302,29.695623,06076-060-032,True,0.79,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.289697975811805,217444.2937054434,217894.2937054434,-61205.706294556614,-19340.706294556585,61205.706294556614,19340.706294556585,0.780703309585967
38135,0.2,1281,3.0,GAINESVILLE,264500,2000,100,1281.0,1979,2022,0,0.0,204.0,0.0,21,42,0,0,1.5,1764,223061.0,0.24202092424991012,-82.362209,29.694861,06076-105-000,True,0.79,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.203025084445574,199391.41560316778,201155.41560316778,-63344.584396832215,-23669.584396832215,63344.584396832215,23669.584396832215,0.7605119682539425
38164,0.2,912,3.0,GAINESVILLE,216900,2010,100,912.0,1983,2022,0,0.0,0.0,0.0,11,38,0,0,1.5,881,183484.0,0.24202092424991012,-82.360522,29.700088,06076-200-006,True,0.89,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.06702459804684,174037.24343920583,174918.24343920583,-41981.756560794165,-9446.756560794165,41981.756560794165,9446.756560794165,0.8064464888852274
38171,0.23,912,3.0,GAINESVILLE,184800,1990,100,912.0,1981,2022,0,0.0,72.0,180.0,30,40,0,0,1.5,1319,155761.0,0.27832406288739664,-82.360402,29.699634,06076-200-013,True,0.7,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.965008677750399,157158.27189040004,158477.27189040004,-26322.728109599964,1397.2718904000358,26322.728109599964,1397.2718904000358,0.8575609950779223
