prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,,
10722,10.67,1982,1026,AC,5,523100,NEWBERRY,,
10775,12.97,1996,1645,AC,3,457900,SUWANNEE,,
11072,5.67,1987,1496,AC,4,407600,SUWANNEE,,
11072,5.67,1987,1496,AC,4,61800,SUWANNEE,,
11208,5,2003,2400,AC,3,413700,SUWANNEE,,
11213,5,2004,1672,AC,3,268300,SUWANNEE,,
11582,5.36,1994,1200,AC,3,315900,SUWANNEE,,
11608,5.69,2008,1832,AC,3,292800,SUWANNEE,,
11634,6.28,2006,2582,AC,4,580700,SUWANNEE,,
11701,21.69,2004,1665,AC,3,615000,SUWANNEE,,
11802,1.27,2007,1954,AC,3,411400,SUWANNEE,,
11958,5.01,1900,2505,AC,2,494600,SUWANNEE,,
11975,1.09,1900,2208,AC,3,255000,SUWANNEE,,
12021,2.71,1995,1597,AC,3,335000,SUWANNEE,,
12134,6.94,1995,2236,AC,4,529100,ALACHUA,,
12151,2,1996,2748,AC,4,543200,ALACHUA,,
12225,1.06,2018,3117,LT,NULL,700700,ALACHUA,,
12230,1.07,2000,2645,LT,4,488100,ALACHUA,,
12252,1.52,2004,2433,LT,4,571700,ALACHUA,,
12259,1.05,2003,2209,LT,4,511800,ALACHUA,,
12275,1.11,1997,1841,LT,4,435200,ALACHUA,,
12279,1.06,2000,1850,LT,4,336300,ALACHUA,,
12349,0.15,2011,1482,LT,3,289700,HIGH SPRINGS,,
12375,0.15,2015,1826,LT,3,362600,HIGH SPRINGS,,
12384,0.14,2018,1724,LT,NULL,336600,HIGH SPRINGS,,
12386,0.14,2016,1402,LT,3,308100,HIGH SPRINGS,,
12387,0.15,2014,1878,LT,3,319800,HIGH SPRINGS,,
12393,0.21,2014,1699,LT,3,392600,HIGH SPRINGS,,
12399,0.14,2011,1482,LT,3,307200,HIGH SPRINGS,,
12406,0.2,2013,1786,LT,3,346800,HIGH SPRINGS,,
12408,0.16,2008,1732,LT,3,303000,HIGH SPRINGS,,
12410,0.16,2012,1607,LT,3,313500,HIGH SPRINGS,,
12413,0.18,2011,1554,LT,3,313800,HIGH SPRINGS,,
12450,3.62,2018,3572,AC,NULL,829500,SUWANNEE,,
12465,0.28,1958,1935,UN,3,208300,SUWANNEE,,
12506,0.23,1966,1432,LT,3,210000,SUWANNEE,,
12544,0.23,1976,2268,LT,3,285700,SUWANNEE,,
12559,0.23,1976,2108,LT,3,295600,SUWANNEE,,
12562,0.23,1968,1844,LT,3,208100,SUWANNEE,,
12567,0.31,2020,1565,LT,NULL,319100,SUWANNEE,,
12580,0.6,1973,1508,AC,3,255400,SUWANNEE,,
12642,5.3,1990,1838,AC,3,535000,ALACHUA,,
12643,5.75,2006,3993,AC,4,740400,ALACHUA,,
12647,5.85,1979,2182,AC,3,471700,ALACHUA,,
12673,0.25,2013,1503,LT,3,349600,ALACHUA,,
12676,0.23,2005,2600,LT,4,530100,ALACHUA,,
12682,0.26,2006,2600,LT,3,397600,ALACHUA,,
12688,0.19,2006,1525,LT,3,329200,ALACHUA,,
12704,0.19,2014,1562,LT,3,335900,ALACHUA,,
12708,0.2,2015,1869,LT,3,400100,ALACHUA,,
12717,0.18,2005,1922,LT,3,348300,ALACHUA,,
12796,0.17,2008,2734,LT,2,394400,ALACHUA,,
12814,0.17,2008,2224,LT,2,353200,ALACHUA,,
12817,0.18,2008,3554,LT,2,471700,ALACHUA,,
12823,0.17,2008,2216,LT,2,346000,ALACHUA,,
12853,0.3,2013,2958,LT,3,478700,ALACHUA,,
12855,0.18,2011,2804,LT,2,426400,ALACHUA,,
