legal_acreage,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
1.32,4,33116.14425086988,1941691797.5006707,0.85995608587494,0.9980145591832562,7.645468229875973,"{'PRB': 0.03539611449703731, 'Sig': 0.8888303425601989}",1.0104104657144672,0.07535087177323771
1.33,7,36189.23018856626,2108113383.6339915,0.8940847996729664,1.0047533968696347,10.482032710438693,"{'PRB': -0.030021005822567507, 'Sig': 0.7316104147355688}",0.9917901640356678,0.10393138772146338
1.34,7,45863.3261005998,2926155575.448822,0.893794444429377,0.9643563892842797,16.821912264932134,"{'PRB': 0.213497028597479, 'Sig': 0.2546002354017726}",0.9176276693180371,0.15100445907575932
1.35,4,45451.96450948091,3600331625.7583647,-0.15292033409610895,1.0269475556610992,10.9634093705971,"{'PRB': -0.41600296484620347, 'Sig': 0.18006667679976765}",1.052784106127303,0.11302674370145299
1.38,4,60861.04646217261,4312811920.935602,0.30809489854457617,0.9941207958571902,14.366332104977616,"{'PRB': 0.7023178186536202, 'Sig': 0.518724465268815}",0.9421706213218809,0.12907689435420192
1.39,1,23897.93440396001,571111268.7759755,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.93742225941153,0.0
1.4,4,72666.19850467391,5682095163.04005,0.7830886870300839,0.9433874488416077,20.29717355702418,"{'PRB': 0.5286871086501133, 'Sig': 0.101480219085134}",0.9011219322333094,0.16153791135576118
1.41,3,12670.405939980139,218079535.76403138,0.9826811475359056,1.0048685744903452,2.1171219832633974,"{'PRB': -0.06752688186385523, 'Sig': 0.39910877551220475}",1.013094535422609,0.02146313028876649
1.42,6,37315.83210953838,2367325725.6983547,0.8468968615833625,0.9988125333748318,7.885544417898607,"{'PRB': 0.009275557134787588, 'Sig': 0.9313158383392264}",0.9497192188365535,0.07466883462046549
1.43,4,52262.46724271387,4934789313.801888,0.8446614804778447,1.030424736514587,7.944875063794554,"{'PRB': -0.1573477139110777, 'Sig': 0.3053027011181605}",1.002561348398151,0.08039847506698042
1.44,4,15267.608470826402,411060439.7283233,0.9813002673042219,0.9844192320509318,4.05061410226999,"{'PRB': 0.10769107683018653, 'Sig': 0.11538818576062237}",0.9652612449035635,0.039645375562272905
1.45,2,13251.373404083788,203671275.41915092,0.8189208648255814,1.0069972444934807,4.56764043385135,"{'PRB': -0.20650311459395754, 'Sig': nan}",1.0172267707355056,0.04678837608324449
1.46,1,123396.77121387102,15226763146.008427,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.284765791338661,0.0
1.47,1,95228.76433626062,9068517557.011063,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7458558642853612,0.0
1.49,3,109993.40469260338,23430146113.004852,-1.1827703273398948,1.0545420072886533,12.696003343653457,"{'PRB': -0.27644954636143043, 'Sig': 0.28884979357996116}",0.8153695295768971,0.10840598356529652
1.5,6,27372.587313481705,1632100455.411725,0.9594582836186947,1.0094645812095395,4.5820564622059745,"{'PRB': -0.015215517673590558, 'Sig': 0.7209648545238025}",0.9780535008364634,0.04502761958276356
1.51,1,3078.200209484523,9475316.52967056,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9817764378055299,0.0
1.52,6,49082.004162033794,3650309089.6975474,0.6088714538542856,1.049696826185501,13.78428942744031,"{'PRB': -0.29899509912281996, 'Sig': 0.030695537800900653}",0.9524063094161299,0.1303155501005636
1.53,8,44115.731937517994,4329611193.108364,0.9590822859546755,0.9833093063794905,7.000306564873947,"{'PRB': 0.020571234435424406, 'Sig': 0.7078343685138315}",0.9928503992197993,0.06776222512501524
1.54,2,13408.022054081754,290624496.4766268,0.9950243800633785,1.0050936688984788,1.0338878758689465,"{'PRB': -0.013362853350675927, 'Sig': nan}",0.9739412250415341,0.010120750740262197
1.55,1,45544.48593499878,2074300199.0833018,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8999087150552155,0.0
1.56,2,18953.71344456976,519909389.2786031,-0.034692794567326546,0.9995006144304109,5.340016435997558,"{'PRB': 3.955836715611918, 'Sig': nan}",0.9657461418715899,0.05154524889139461
1.57,3,40285.860770370426,2248882180.46121,0.9133092327961717,1.0083794863997662,2.0413725765535964,"{'PRB': -0.049294809803992715, 'Sig': 0.11206993590826632}",0.9252093736112935,0.01894495385591477
1.58,4,74133.12053479398,7348339513.390944,0.6038832755822892,1.0592120163520597,21.573268842834455,"{'PRB': -0.1652776620499425, 'Sig': 0.5372144208222511}",0.9364202912941256,0.20319138570129933
1.59,4,23648.98705221148,713413255.1727306,0.9770376285498881,1.0035309025176138,5.8842029102589395,"{'PRB': -0.017734926620965603, 'Sig': 0.8825309009958444}",1.0029603517851928,0.059057013072533415
1.6,2,183277.48552425829,61028872518.500305,-11.658936787892133,1.3578269046071076,57.85483303146557,"{'PRB': -0.8157162123736894, 'Sig': nan}",1.6627609900775144,1.3062126377398235
1.61,1,44729.30068911286,2000710340.1370723,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9253443208844614,0.0
1.62,2,35918.45827283914,1310446261.6639762,0.9087452499412575,1.027570574658568,8.091202677974033,"{'PRB': -0.1627365406369887, 'Sig': nan}",0.9904049700932601,0.08234506003099934
1.63,4,62340.43577725935,7741765692.084685,0.9777701228874724,0.9846068205654823,3.080712503741388,"{'PRB': 0.0195667084043089, 'Sig': 0.39068648235895564}",1.0682188310094343,0.03231339353966778
1.64,3,47094.49069197817,3118960345.861695,0.8917354052609251,0.9836287303568878,10.892121578183234,"{'PRB': 0.037609689977659344, 'Sig': 0.9067475137973684}",0.9772960703576379,0.11385264636064674
