prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C
2047,0.2,1772,1.0,HIGH SPRINGS,331700,1180,2014,100,216.0,484.0,10,280765.0,0.2852418294082304,-82.585838,29.830497,00236-100-095,HighSprings_B,True,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2052,0.21,1912,1.0,HIGH SPRINGS,332300,1480,2017,100,226.0,462.0,7,280975.0,0.2995039208786419,-82.585858,29.831693,00236-100-100,HighSprings_B,True,False,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2060,0.2,1441,1.0,HIGH SPRINGS,302900,4164,2017,100,188.0,400.0,7,253301.0,0.2852418294082304,-82.587011,29.832802,00236-100-108,HighSprings_B,True,False,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2092,0.19,1968,1.0,HIGH SPRINGS,355000,447,2012,100,240.0,484.0,12,301302.99999999994,0.2709797379378188,-82.584738,29.830282,00236-100-140,HighSprings_B,True,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2096,0.23,1752,1.0,HIGH SPRINGS,333200,1310,2015,100,236.0,484.0,9,281910.0,0.32802810381946496,-82.584437,29.830028,00236-100-144,HighSprings_B,True,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2103,0.21,1740,1.0,HIGH SPRINGS,361700,31385,2012,100,175.5,484.0,12,276060.0,0.2995039208786419,-82.584451,29.832192,00236-100-151,HighSprings_B,True,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2124,0.23,1772,1.0,HIGH SPRINGS,329200,1671,2013,100,216.0,484.0,11,278148.99999999994,0.32802810381946496,-82.58589,29.832974,00236-100-172,HighSprings_B,True,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2179,4.0,1470,1.0,SUWANNEE,242400,12203,2003,100,600.0,0.0,21,193837.0,5.704836588164608,-82.563604,29.840847,00242-001-000,HighSprings_B,False,False,0.79,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2200,5.0,1860,1.0,HIGH SPRINGS,436500,50981,2015,100,372.0,0.0,9,320044.0,7.13104573520576,-82.570718,29.833967,00243-020-000,HighSprings_B,True,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2240,5.0,1946,1.0,HIGH SPRINGS,388900,6303,2012,100,346.0,484.0,12,324262.0,7.13104573520576,-82.570239,29.832506,00248-002-000,HighSprings_B,True,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2247,2.71,1570,1.0,HIGH SPRINGS,308700,616,2006,100,192.0,576.0,18,261778.99999999997,3.8650267884815213,-82.568756,29.83027,00248-009-000,HighSprings_B,True,False,0.8200000000000001,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2259,2.64,1456,1.15,SUWANNEE,343400,4282,2015,100,36.0,0.0,9,287608.0,3.7651921481886412,-82.562946,29.828444,00250-001-005,HighSprings_B,True,False,0.91,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2339,1.25,1893,1.0,HIGH SPRINGS,387700,5873,1996,100,606.0,462.0,28,323672.0,1.78276143380144,-82.563674,29.815248,00256-020-009,HighSprings_B,True,False,0.72,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2343,1.03,1667,1.0,HIGH SPRINGS,434300,7669,1997,100,214.0,567.0,27,361486.0,1.4689954214523866,-82.561732,29.815234,00256-020-013,HighSprings_B,True,False,0.73,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2344,1.03,2045,1.0,HIGH SPRINGS,429700,12222,2004,100,338.0,504.0,20,353023.0,1.4689954214523866,-82.561259,29.815236,00256-020-014,HighSprings_B,True,False,0.8,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
