tax_area_description,Market_Cluster_ID,actual_year_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
SUWANNEE,HighSprings_B,2012,4.0,1.0,0.7021212412097008,,0.7021212412097008,0.7021212412097008,0.7021212412097008,0.7021212412097008,0.7021212412097008,0.7021212412097008
SUWANNEE,HighSprings_B,2013,3.0,1.0,0.847891919604509,,0.847891919604509,0.847891919604509,0.847891919604509,0.847891919604509,0.847891919604509,0.847891919604509
SUWANNEE,HighSprings_B,2013,4.0,1.0,0.8328904336200504,,0.8328904336200504,0.8328904336200504,0.8328904336200504,0.8328904336200504,0.8328904336200504,0.8328904336200504
SUWANNEE,HighSprings_B,2016,3.0,1.0,1.026182014764197,,1.026182014764197,1.026182014764197,1.026182014764197,1.026182014764197,1.026182014764197,1.026182014764197
SUWANNEE,HighSprings_B,2017,4.0,1.0,0.7855461796664222,,0.7855461796664222,0.7855461796664222,0.7855461796664222,0.7855461796664222,0.7855461796664222,0.7855461796664222
SUWANNEE,HighSprings_E,1940,2.0,1.0,1.4857583307937563,,1.4857583307937563,1.4857583307937563,1.4857583307937563,1.4857583307937563,1.4857583307937563,1.4857583307937563
SUWANNEE,HighSprings_E,1950,3.0,1.0,0.8379293450150257,,0.8379293450150257,0.8379293450150257,0.8379293450150257,0.8379293450150257,0.8379293450150257,0.8379293450150257
SUWANNEE,HighSprings_E,1956,3.0,1.0,0.9463324133359428,,0.9463324133359428,0.9463324133359428,0.9463324133359428,0.9463324133359428,0.9463324133359428,0.9463324133359428
SUWANNEE,HighSprings_E,1974,3.0,1.0,0.5715006593526857,,0.5715006593526857,0.5715006593526857,0.5715006593526857,0.5715006593526857,0.5715006593526857,0.5715006593526857
SUWANNEE,HighSprings_E,1975,3.0,1.0,0.7098098694778059,,0.7098098694778059,0.7098098694778059,0.7098098694778059,0.7098098694778059,0.7098098694778059,0.7098098694778059
SUWANNEE,HighSprings_E,1996,3.0,1.0,0.7025072469289465,,0.7025072469289465,0.7025072469289465,0.7025072469289465,0.7025072469289465,0.7025072469289465,0.7025072469289465
SUWANNEE,HighSprings_E,1997,3.0,1.0,1.0101411968235792,,1.0101411968235792,1.0101411968235792,1.0101411968235792,1.0101411968235792,1.0101411968235792,1.0101411968235792
SUWANNEE,HighSprings_E,2005,3.0,1.0,0.7008565903244898,,0.7008565903244898,0.7008565903244898,0.7008565903244898,0.7008565903244898,0.7008565903244898,0.7008565903244898
SUWANNEE,HighSprings_E,2014,3.0,1.0,0.7168317614985771,,0.7168317614985771,0.7168317614985771,0.7168317614985771,0.7168317614985771,0.7168317614985771,0.7168317614985771
SUWANNEE,Real_Tioga,1997,4.0,2.0,0.9322509876179506,0.018556934116485648,0.9191292536661516,0.9256901206420511,0.9322509876179506,0.9388118545938501,0.9453727215697496,0.9322509876179506
SUWANNEE,Real_Tioga,1998,3.0,1.0,0.7129465692055788,,0.7129465692055788,0.7129465692055788,0.7129465692055788,0.7129465692055788,0.7129465692055788,0.7129465692055788
SUWANNEE,Real_Tioga,1999,4.0,2.0,0.8188233004827161,0.06094786686468239,0.7757266505238444,0.7972749755032803,0.8188233004827161,0.840371625462152,0.861919950441588,0.8188233004827161
SUWANNEE,Real_Tioga,2000,4.0,6.0,0.8683304171251836,0.09273970306380495,0.7775210553097388,0.8006295798683515,0.8413022403671067,0.9203855666565257,1.0160382649187178,0.8413022403671067
SUWANNEE,Real_Tioga,2001,4.0,4.0,0.8612560762898336,0.02770467450795532,0.8298823705300968,0.8420142092114763,0.8646976776322876,0.883939544710645,0.8857465793646626,0.8646976776322876
SUWANNEE,Real_Tioga,2002,4.0,6.0,0.8218271323591494,0.0438002766634634,0.7451669899287566,0.8051667670419456,0.8373918103739604,0.8516567211547265,0.8601754061319632,0.8373918103739604
SUWANNEE,Real_Tioga,2002,5.0,1.0,0.8762414167091512,,0.8762414167091512,0.8762414167091512,0.8762414167091512,0.8762414167091512,0.8762414167091512,0.8762414167091512
SUWANNEE,Real_Tioga,2003,3.0,2.0,0.8162731448275884,0.025103937282678956,0.7985219805405243,0.8073975626840563,0.8162731448275884,0.8251487269711204,0.8340243091146524,0.8162731448275884
SUWANNEE,Real_Tioga,2003,4.0,3.0,0.8260638439845872,0.02254380285026178,0.8019701909931306,0.8157729677580633,0.829575744522996,0.8381106704803155,0.846645596437635,0.829575744522996
SUWANNEE,Real_Tioga,2003,5.0,2.0,0.8757178819726632,0.02566652437895871,0.8575689085348117,0.8666433952537375,0.8757178819726632,0.8847923686915891,0.8938668554105148,0.8757178819726632
SUWANNEE,Real_Tioga,2004,4.0,9.0,0.8326282653604301,0.06511071940777727,0.6877782695998957,0.8091498936358815,0.850748602890279,0.865575874989684,0.9084793022784048,0.850748602890279
SUWANNEE,Real_Tioga,2004,5.0,3.0,0.8807449896442604,0.08150127771177254,0.7981560954775015,0.8405608511152616,0.8829656067530215,0.9220394367276399,0.9611132667022584,0.8829656067530215
SUWANNEE,Real_Tioga,2005,4.0,10.0,0.8830579899563938,0.05353512559448877,0.7943279613584873,0.850523358685975,0.8853001181121855,0.92371533795897,0.9586223524588792,0.8853001181121855
SUWANNEE,Real_Tioga,2005,5.0,1.0,0.9443408510299952,,0.9443408510299952,0.9443408510299952,0.9443408510299952,0.9443408510299952,0.9443408510299952,0.9443408510299952
SUWANNEE,Real_Tioga,2006,4.0,13.0,0.8546909777384516,0.07710898258850725,0.7493740050737837,0.8084918438584382,0.8574097967683495,0.8704106137493046,1.0431065023580992,0.8574097967683495
SUWANNEE,Real_Tioga,2007,4.0,6.0,0.8895043556085893,0.06293305242802091,0.7810342209680213,0.887399638929202,0.895528603398025,0.900793232165817,0.9776966133594556,0.895528603398025
SUWANNEE,Real_Tioga,2007,5.0,2.0,0.8308564076013686,0.07194497774167882,0.7799836259679123,0.8054200167846404,0.8308564076013686,0.8562927984180968,0.8817291892348249,0.8308564076013686
SUWANNEE,Real_Tioga,2008,5.0,1.0,0.8545208570558234,,0.8545208570558234,0.8545208570558234,0.8545208570558234,0.8545208570558234,0.8545208570558234,0.8545208570558234
SUWANNEE,Real_Tioga,2009,4.0,1.0,0.8148482708512004,,0.8148482708512004,0.8148482708512004,0.8148482708512004,0.8148482708512004,0.8148482708512004,0.8148482708512004
SUWANNEE,Real_Tioga,2010,5.0,1.0,0.7756844572736952,,0.7756844572736952,0.7756844572736952,0.7756844572736952,0.7756844572736952,0.7756844572736952,0.7756844572736952
