actual_year_built,count,mean,std,min,25%,50%,75%,max,median
2004,192.0,0.8508565304418131,0.08269876159929347,0.6647241910259469,0.7939460000633987,0.8442278767229605,0.8968950494938517,1.2222494947077096,0.8442278767229605
2005,237.0,0.8599282362819033,0.07784536453685628,0.700167970653593,0.8039484832104979,0.8509143850455305,0.9065523801676004,1.085678875260173,0.8509143850455305
2006,188.0,0.8579258169790719,0.0864603323083298,0.6292287619540016,0.8076123123360381,0.8522618667263591,0.8991778355161341,1.213775009835478,0.8522618667263591
2007,146.0,0.8467130712847795,0.0849331244511016,0.5821132514659596,0.7945797411165261,0.8395294597180758,0.8997371584493189,1.169021428005762,0.8395294597180758
2008,96.0,0.8677369641711182,0.09433544206000095,0.6476328948085797,0.8186538301547404,0.8519083407963339,0.9126024339530018,1.2111689095767009,0.8519083407963339
2009,60.0,0.8497238145108917,0.1103175789996407,0.6463320497012567,0.7917001760403104,0.8350283865666426,0.8867568671318712,1.333893023829443,0.8350283865666426
2010,56.0,0.8729409068189303,0.10011690615653107,0.725646910969277,0.8141993760061544,0.8477379403628548,0.9185538898315864,1.247587126555877,0.8477379403628548
2011,52.0,0.854573066717503,0.06562192505167395,0.7082194033552895,0.8159074778545017,0.8534644267113147,0.8751890570981355,1.0176372142443142,0.8534644267113147
2012,55.0,0.8741960859584738,0.10725959608638955,0.7021212412097008,0.8057111527787226,0.8585304988213641,0.9327833638555959,1.1567887754665631,0.8585304988213641
2013,78.0,0.8514866785444798,0.06770067063404414,0.6555042817473996,0.8241873828303683,0.8483982316858012,0.8881432690595235,1.000430900384225,0.8483982316858012
2014,94.0,0.8496935174734872,0.08039492352501258,0.6578473615897439,0.7986615679994536,0.8408275237934602,0.8947314866113625,1.1181000002427417,0.8408275237934602
2015,100.0,0.8480272273588796,0.07715942787725111,0.6331442824158028,0.8034534894724447,0.843458552966437,0.8946770502988238,1.0381707492326626,0.843458552966437
2016,112.0,0.8598071368749716,0.0865325814052251,0.5768163535302969,0.8153846189590336,0.8574415728629704,0.9072024083534133,1.077489378079808,0.8574415728629704
2017,132.0,0.8600263616465053,0.09900882335406916,0.6267952289959553,0.7952362348227247,0.8514288814595873,0.9220137530749262,1.1594057377912166,0.8514288814595873
2018,27.0,0.853133532988364,0.06628919007532286,0.7372902532015279,0.8044625636659768,0.8451524354848837,0.8869994744681555,1.0321591475029148,0.8451524354848837
2019,4.0,0.9004369563915857,0.11714058296123822,0.7748853433475363,0.8173784571740491,0.8998045077687669,0.9828630069863032,1.0272534666812725,0.8998045077687669
2020,9.0,0.8313058037465362,0.07371141079706316,0.7195566383537747,0.7591577099677282,0.8556469262458993,0.8901880645902489,0.909581594127816,0.8556469262458993
2021,9.0,0.8318728812643513,0.07786368050894364,0.7324844967619152,0.7727451327466935,0.8345319428890807,0.8714561485539719,0.9793617869762912,0.8345319428890807
2022,5.0,0.8479597499548694,0.12114652442290098,0.7101710515678932,0.779078300434689,0.8249904328584156,0.8992153001038496,1.0263436648094992,0.8249904328584156
